customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
53,2,611,Germany,0,61,6.0,98301,1,0,0.0,1
54,2,575,Germany,0,33,3.0,132634,1,1,1.0,1
56,2,701,Spain,0,38,6.0,0,2,0,1.0,0
57,2,710,France,0,37,5.0,0,2,1,0.0,0
58,2,642,Spain,0,49,4.0,0,1,1,1.0,0
59,2,541,France,0,39,9.0,0,2,1,0.0,0
60,2,623,France,0,44,7.0,0,2,1,0.0,0
61,1,751,Germany,0,36,4.0,102608,1,1,1.0,1
62,1,483,Spain,0,31,4.0,0,1,0,0.0,0
63,1,643,France,0,32,4.0,0,1,1,1.0,0
64,1,801,Germany,0,44,7.0,121733,1,1,1.0,1
65,1,548,France,0,36,2.0,0,2,1,1.0,0
66,1,705,Spain,0,42,8.0,0,2,1,1.0,0
67,1,570,Spain,0,29,5.0,0,2,1,1.0,0
68,1,680,France,0,37,10.0,0,2,0,0.0,0
69,1,718,France,0,39,5.0,0,2,1,1.0,0
70,1,738,Germany,0,35,5.0,161274,2,1,0.0,1
71,2,839,Germany,0,34,8.0,134370,1,1,0.0,1
72,2,637,Spain,0,39,8.0,131760,1,1,1.0,1
73,2,669,France,0,46,3.0,0,2,1,0.0,0
74,2,613,France,0,38,5.0,0,1,0,1.0,0
75,2,612,Germany,0,39,2.0,121981,1,1,1.0,1
76,2,506,Germany,0,35,8.0,168940,2,1,1.0,1
77,2,665,France,0,34,1.0,0,2,0,0.0,0
78,2,758,Spain,0,39,1.0,152331,1,1,0.0,1
79,2,538,Spain,0,35,2.0,0,1,0,1.0,0
80,2,662,Spain,0,38,7.0,111326,1,1,1.0,1
81,1,777,France,0,32,2.0,0,1,1,0.0,0
82,1,543,France,0,36,3.0,0,2,0,0.0,0
83,1,788,France,0,33,4.0,0,2,1,0.0,0
84,1,814,France,0,35,4.0,115206,2,1,1.0,1
85,1,750,France,0,37,0.0,0,2,1,0.0,0
86,1,753,Spain,0,40,9.0,0,1,1,1.0,0
88,1,684,Germany,0,38,5.0,92026,1,1,1.0,1
89,1,754,France,0,43,4.0,147493,1,1,1.0,1
90,1,647,Spain,0,44,5.0,0,3,1,1.0,0
91,1,646,France,0,45,10.0,0,1,1,1.0,0
93,1,708,Germany,0,32,5.0,102220,1,1,0.0,1
94,1,763,Spain,0,36,7.0,111532,1,1,1.0,1
95,1,714,Germany,0,30,5.0,123136,1,0,0.0,1
96,1,772,Spain,0,42,8.0,0,2,1,1.0,0
97,1,850,France,0,29,2.0,0,2,1,1.0,0
98,1,786,Germany,0,41,5.0,131013,1,0,0.0,1
99,1,524,France,0,40,5.0,0,2,1,1.0,0
100,1,772,Germany,0,33,1.0,79808,1,0,0.0,1
